time,Date,itf_g,itf_t,itf_s,DMI_HadISST1.1,meiv2,TCI_MEI,TCI_DMI,H1_features,H2_features,regime_shift
2005.0,2005-01-01,4.510066271144336,7.642101002576218,-1.241718085363604,-0.124,0.09,1.184433824245492,0.276650736368238,1,9,0
2005.0849315068488,2005-02-01,1.3778614760020456,4.852946732805832,-0.1507166828455735,-0.56,0.61,1.0,0.0,1,9,0
2005.1616438356164,2005-03-01,0.0165733418666319,1.3629320889599708,2.392050758408736,-0.432,0.83,0.91616766467019,0.08383233532981,1,9,0
2005.2465753424656,2005-04-01,-4.973721690531978,-4.940993100721965,4.798568535957054,0.084,0.14,0.8233532934128693,0.17664670658713064,1,9,0
2005.328767123288,2005-05-01,-4.913847843882199,-2.27889924691056,2.750521560022217,-0.033,0.19,0.7335329341310544,0.2664670658689457,1,9,0
2005.4136986301369,2005-06-01,4.539409011652162,7.825301373753723,3.4286216305320774,-0.176,0.2,0.6407185628739822,0.3592814371260178,1,9,0
2005.495890410959,2005-07-01,6.608410005698767,10.249088892195068,1.9947576447520623,-0.384,-0.0,0.5508982035924156,0.4491017964075844,1,9,0
2005.580821917808,2005-08-01,6.471328113557867,8.257836799572296,2.1718328557420654,-0.345,0.01,0.45808383233534344,0.5419161676646566,0,8,0
2005.6657534246576,2005-09-01,10.42258967938517,10.822593043148004,3.576113683908076,-0.534,-0.02,0.3652694610775259,0.6347305389224741,0,8,0
2005.7479452054797,2005-10-01,3.941717702159036,4.655562645866776,2.844550235330091,-0.436,-0.66,0.2754491017959593,0.7245508982040407,0,8,0
2005.8328767123287,2005-11-01,3.350297895885296,3.06180156617254,2.901005681501452,-0.272,-0.7,0.18263473053888712,0.8173652694611129,0,8,0
2005.9150684931508,2005-12-01,6.586962735318096,6.332599263785436,2.060444737267366,-0.3,-0.7,0.09281437125732062,0.9071856287426794,0,8,0
2006.0,2006-01-01,10.244292667668043,11.537652424757596,-0.5601987315573488,-0.135,-0.64,0.0,1.0,0,8,0
2006.0849315068488,2006-02-01,8.862881053621289,9.251191501198615,-0.7921479392727423,-0.305,-0.48,0.0,1.1856287425137395,0,8,0
2006.1616438356164,2006-03-01,8.169196426491977,5.876480242927593,1.5867809214710893,-0.226,-0.62,0.0,1.3532934131734429,0,8,0
2006.2465753424656,2006-04-01,5.024579933816662,-0.6043017111909841,3.4254086209715613,-0.015,-0.84,0.0,1.5389221556881765,0,8,0
2006.328767123288,2006-05-01,5.788180581294198,1.4421643336090413,0.5876255827879485,-0.207,-0.42,0.0,1.7185628742518957,0,8,0
2006.4136986301369,2006-06-01,14.637001449297816,10.7174330903025,1.81271313067042,-0.059,-0.18,0.0,1.9041916167661324,0,8,0
2006.495890410959,2006-07-01,15.244585897996364,12.109377136245543,0.1137216859402776,0.04,0.21,0.0,2.0838323353293546,0,8,0
2006.580821917808,2006-08-01,11.965500141562812,8.734948140729998,0.1944087272738442,0.229,0.59,0.0,2.2694610778435913,0,8,0
2006.6657534246576,2006-09-01,13.631875933104412,9.877071827876575,4.082708954279835,0.428,0.65,0.0,2.4550898203593188,0,8,0
2006.7479452054797,2006-10-01,4.259707248626151,2.4665118958184653,2.4354060680579,0.577,0.77,0.0,2.634730538922541,0,8,0
2006.8328767123287,2006-11-01,2.7960304316069724,-0.1536170170426826,3.968850587647304,0.501,1.0,0.0,2.8203592814367777,0,8,0
2006.9150684931508,2006-12-01,3.111926504124772,2.379521387105067,1.3758134416701862,0.172,0.64,0.0,3.0,0,8,0
2007.0,2007-01-01,6.667178113057034,7.69119193497778,-1.854633692956702,0.224,0.64,0.0,2.7223880597017653,0,8,0
2007.0849315068488,2007-02-01,3.871212286417701,5.404818111381747,-2.569289504002259,0.15,0.39,0.0,2.4447761194050175,0,8,0
2007.1616438356164,2007-03-01,0.7012754844797351,2.3149087295600284,-4.774934322328968,0.116,-0.19,0.0,2.194029850746701,0,8,0
2007.2465753424656,2007-04-01,-1.522187930256841,-3.4815393837333106,0.1621393310780876,0.1,-0.32,0.0,1.9164179104484667,0,8,0
2007.328767123288,2007-05-01,0.7249852100997656,-0.3482797307085725,-1.9384849239119084,0.27,-0.41,0.0,1.647761194029214,0,8,0
2007.4136986301369,2007-06-01,12.379179545601742,10.064050349543407,-1.284130764256227,0.03,-0.83,0.0,1.3701492537317226,0,9,0
2007.495890410959,2007-07-01,16.922271674979314,12.761503477917184,-0.1778590675010687,0.045,-0.75,0.0,1.1014925373132132,0,9,0
2007.580821917808,2007-08-01,16.137379673016085,11.113051042474654,1.4241379620121266,0.236,-0.9,0.0,0.8238805970157217,0,9,0
2007.6657534246576,2007-09-01,21.634883305153625,13.718552907033224,2.802053317670364,0.235,-1.06,0.0,0.5462686567160007,0,9,0
2007.7479452054797,2007-10-01,15.569573933946614,7.282648654426174,2.1933611817066447,0.068,-1.13,0.0,0.27761194029749126,0,9,0
2007.8328767123287,2007-11-01,13.512796259404258,5.575146899130007,2.439857263726604,-0.023,-1.12,0.0,0.0,0,9,0
2007.9150684931508,2007-12-01,13.151246217316164,8.67501665714821,0.1820810539148774,-0.227,-1.19,0.08975281192800297,0.0,0,9,0
2008.0,2008-01-01,13.534959361547546,13.9506516099395,-4.469149045871991,0.115,-1.06,0.18249738425330808,0.0,0,9,0
2008.084699453552,2008-02-01,11.287729154905271,10.756914277574076,-2.790353240768669,-0.072,-1.27,0.2749885561080348,0.0,0,9,0
2008.1639344262296,2008-03-01,7.221037066556427,6.541846592804042,-1.2432803190509747,0.097,-1.52,0.361512555584869,0.0,0,9,0
2008.2486338797812,2008-04-01,0.8765144453691465,-0.9195944304797132,1.80116381064792,-0.153,-1.11,0.4540037274390991,0.0,0,9,0
